order_id,customer_id,product_id,quantity,order_date
71,77,164,4,2024-12-19
72,65,117,3,2024-04-11
73,99,124,1,2024-05-01
74,98,147,3,2024-10-21
75,76,180,3,2024-01-12
76,213,169,4,2024-05-20
77,3,145,1,2024-11-06
78,191,128,3,2024-04-27
79,156,206,3,2024-04-22
80,163,49,5,2024-05-08
81,174,194,2,2024-11-17
82,25,161,1,2024-06-07
83,202,113,1,2024-10-23
84,94,188,2,2024-02-16
85,233,76,3,2024-07-31
86,45,52,2,2024-10-03
87,225,94,5,2024-09-13
88,234,70,2,2024-05-11
89,234,212,4,2024-05-31
90,192,87,1,2024-08-27
91,247,20,2,2024-04-25
92,221,174,4,2024-10-12
93,94,24,4,2024-01-08
94,68,138,1,2024-08-20
95,95,173,3,2024-10-26
96,98,211,3,2024-02-25
97,173,60,4,2024-01-13
98,159,144,3,2024-11-08
99,57,166,1,2024-11-21
100,211,119,3,2024-11-28
101,105,30,2,2024-01-24
102,243,10,3,2024-09-09
103,30,25,2,2024-10-02
104,35,100,4,2024-07-08
105,172,191,5,2024-08-02
106,151,191,2,2024-07-31
107,168,26,4,2024-11-11
108,105,72,1,2024-12-19
109,95,56,4,2024-08-15
110,244,61,3,2024-02-20
111,176,95,5,2024-11-26
112,92,16,4,2024-05-21
113,49,32,4,2024-02-16
114,170,55,5,2024-01-11
115,13,202,3,2024-05-04
116,33,202,5,2024-04-15
117,18,213,5,2024-04-16
118,151,56,2,2024-06-17
119,199,38,5,2024-01-02
120,71,38,2,2024-10-03
121,65,205,2,2024-02-26
122,170,7,2,2024-01-08
123,92,203,2,2024-10-28
124,83,5,2,2024-05-15
125,14,33,4,2024-09-26
126,30,191,1,2024-08-31
127,115,200,3,2024-09-19
128,152,28,4,2024-09-14
129,57,158,1,2024-12-03
130,134,78,4,2024-11-25
131,247,8,1,2024-09-02
132,217,103,4,2024-12-17
133,28,126,4,2024-02-07
134,231,21,3,2024-11-07
135,38,17,2,2024-05-20
136,160,163,5,2024-10-07
137,183,84,4,2024-11-01
138,136,76,4,2024-09-15
139,155,111,1,2024-12-25
140,30,168,5,2024-04-20
141,111,116,2,2024-07-30
142,87,212,4,2024-07-23
143,107,187,1,2024-06-09
144,110,81,3,2024-07-10
145,245,40,4,2024-02-04
146,24,213,1,2024-02-17
147,111,25,3,2024-03-07
148,143,16,5,2024-10-14
149,144,85,1,2024-07-29
150,91,171,4,2024-01-27
151,248,74,5,2024-06-08
152,91,27,5,2024-09-16
153,55,40,4,2024-04-24
154,217,28,3,2024-10-11
155,95,30,3,2024-10-20
156,58,207,4,2024-10-14
157,250,197,5,2024-11-10
158,173,165,5,2024-01-14
159,156,169,3,2024-01-15
160,47,70,3,2024-06-22
161,90,2,2,2024-03-14
162,145,169,4,2024-02-05
163,37,190,1,2024-02-16
164,192,136,2,2024-07-11
165,108,117,3,2024-03-21
166,95,80,3,2024-10-17
167,153,22,1,2024-03-20
168,41,194,5,2024-01-26
169,173,21,3,2024-08-14
170,170,109,4,2024-11-06
171,114,107,3,2024-04-20
172,194,132,1,2024-06-25
173,111,29,3,2024-12-13
174,174,152,4,2024-09-26
175,171,79,1,2024-04-22
176,102,154,1,2024-01-04
177,53,78,2,2024-03-11
178,196,66,3,2024-06-16
179,31,2,4,2024-08-08
180,45,34,4,2024-09-29
181,181,59,5,2024-10-13
182,214,172,3,2024-02-06
183,102,190,1,2024-08-11
184,5,118,1,2024-06-09
185,148,110,5,2024-07-26
186,182,164,4,2024-05-28
187,30,104,1,2024-06-15
188,44,206,5,2024-08-23
189,213,177,3,2024-02-15
190,112,28,2,2024-08-11
191,151,103,5,2024-02-10
192,102,80,3,2024-04-23
193,86,200,2,2024-02-09
194,131,163,1,2024-09-28
195,131,50,3,2024-06-28
196,187,210,2,2024-04-30
197,27,38,3,2024-04-11
198,45,155,2,2024-12-01
199,20,46,4,2024-08-25
200,194,145,5,2024-08-17
201,175,145,5,2024-06-14
202,222,161,3,2024-03-18
203,113,18,4,2024-08-14
204,162,78,3,2024-10-29
205,15,91,5,2024-02-07
206,80,119,4,2024-01-20
207,15,95,3,2024-02-09
208,166,24,5,2024-10-31
209,130,99,4,2024-10-24
210,142,203,1,2024-08-18
211,233,208,5,2024-11-29
212,49,83,5,2024-08-31
213,129,39,1,2024-08-18
214,27,208,3,2024-12-31
215,22,130,2,2024-01-21
216,64,182,4,2024-08-12
217,135,134,5,2024-03-22
218,94,96,3,2024-07-17
219,105,199,3,2024-12-13
220,154,14,3,2024-02-03
221,85,25,5,2024-12-13
222,99,73,3,2024-12-02
223,247,155,2,2024-06-19
224,21,150,2,2024-06-28
225,80,168,4,2024-03-07
226,153,182,1,2024-06-07
227,144,97,3,2024-03-06
228,172,180,5,2024-02-17
229,166,172,4,2024-09-17
230,93,5,3,2024-06-07
231,47,55,3,2024-09-05
232,50,58,2,2024-03-20
233,20,76,1,2024-09-16
234,198,139,5,2024-01-20
235,170,87,5,2024-03-08
236,153,97,2,2024-03-24
237,47,213,5,2024-03-25
238,185,113,1,2024-07-29
239,94,174,2,2024-08-15
240,157,73,4,2024-04-29
241,137,62,3,2024-08-28
242,232,214,2,2024-07-07
243,174,147,4,2024-08-24
244,197,73,4,2024-09-14
245,136,108,2,2024-04-12
246,206,155,2,2024-05-08
247,14,165,4,2024-07-09
248,142,27,5,2024-03-04
249,73,22,2,2024-05-19
250,116,132,2,2024-08-11
251,24,57,4,2024-06-27
252,239,7,4,2024-01-28
253,102,129,3,2024-04-30
254,99,21,3,2024-04-24
255,8,82,1,2024-12-31
256,167,86,2,2024-03-11
257,10,74,4,2024-12-22
258,213,36,4,2024-08-17
259,158,2,1,2024-01-10
260,66,56,2,2024-10-07
261,241,187,5,2024-09-27
262,109,29,3,2024-05-01
263,78,32,1,2024-05-02
264,108,164,5,2024-08-22
265,17,29,4,2024-11-01
266,138,5,5,2024-10-21
267,62,184,2,2024-05-29
268,110,1,5,2024-06-29
269,62,147,4,2024-04-05
270,171,172,1,2024-09-25
271,250,93,1,2024-09-26
272,140,130,5,2024-10-10
273,6,100,4,2024-01-23
274,163,100,3,2024-05-09
275,192,5,3,2024-02-04
276,89,62,1,2024-10-24
277,189,194,3,2024-03-09
278,12,91,5,2024-06-22
279,209,165,2,2024-12-16
280,119,179,4,2024-11-19
281,47,208,2,2024-02-02
282,184,199,4,2024-01-19
283,76,52,1,2024-04-12
284,227,11,3,2024-06-07
285,132,102,5,2024-08-30
286,65,10,2,2024-05-26
287,92,200,1,2024-12-01
288,85,70,1,2024-07-07
289,112,103,4,2024-07-16
290,87,48,4,2024-12-20
291,128,95,5,2024-05-16
292,206,22,4,2024-02-10
293,111,155,2,2024-10-06
294,76,83,1,2024-02-10
295,84,170,3,2024-06-05
296,115,155,4,2024-03-26
297,177,114,3,2024-08-16
298,11,187,3,2024-11-10
299,112,71,1,2024-02-08
300,172,164,4,2024-07-05
301,132,206,2,2024-01-16
302,37,156,4,2024-01-18
303,33,18,2,2024-11-26
304,94,93,4,2024-10-17
305,9,155,2,2024-12-13
306,116,95,3,2024-08-15
307,196,20,5,2024-03-11
308,136,94,4,2024-06-09
309,167,72,2,2024-02-28
310,7,189,2,2024-09-12
311,133,100,5,2024-03-01
312,68,199,3,2024-12-26
313,115,55,5,2024-05-26
314,178,126,2,2024-03-03
315,35,19,4,2024-03-29
316,231,183,4,2024-02-14
317,208,175,3,2024-12-07
318,89,182,1,2024-10-08
319,139,75,3,2024-03-21
320,183,182,2,2024-07-04
321,131,58,1,2024-04-12
322,203,36,2,2024-09-09
323,7,93,5,2024-10-20
324,95,120,5,2024-03-07
325,157,23,1,2024-06-07
326,102,184,4,2024-09-26
327,106,197,4,2024-10-21
328,19,33,3,2024-11-24
329,19,116,4,2024-12-14
330,133,89,2,2024-10-09
331,164,151,2,2024-03-07
332,111,129,1,2024-03-04
333,133,40,3,2024-03-25
334,42,83,2,2024-06-26
335,243,133,3,2024-02-10
336,65,51,5,2024-05-20
337,33,161,3,2024-11-10
338,137,24,5,2024-11-24
339,44,152,5,2024-03-19
340,44,169,5,2024-11-05
341,87,216,5,2024-01-22
342,212,8,1,2024-01-24
343,243,165,5,2024-05-15
344,167,54,5,2024-08-01
345,159,164,1,2024-09-11
346,228,161,5,2024-05-28
347,165,78,4,2024-05-05
348,207,207,4,2024-06-01
349,117,19,1,2024-03-21
350,113,107,4,2024-08-25
351,53,88,5,2024-03-14
352,81,184,3,2024-06-25
353,250,103,2,2024-07-08
354,132,144,1,2024-06-12
355,62,120,1,2024-05-16
356,116,64,2,2024-02-19
357,13,75,4,2024-11-11
358,108,64,2,2024-06-16
359,240,148,3,2024-04-07
360,196,41,4,2024-09-20
361,120,128,3,2024-09-11
362,6,24,4,2024-09-15
363,118,62,2,2024-10-25
364,91,13,1,2024-05-24
365,127,153,4,2024-05-26
366,138,3,1,2024-08-08
367,35,68,3,2024-07-25
368,94,12,4,2024-01-27
369,146,144,2,2024-07-04
370,142,74,1,2024-07-16
371,130,116,5,2024-05-23
372,212,160,5,2024-03-01
373,33,25,4,2024-07-10
374,204,87,5,2024-07-06
375,194,37,2,2024-11-04
376,131,103,5,2024-01-21
377,12,10,2,2024-12-31
378,86,206,4,2024-09-22
379,117,39,5,2024-09-20
380,36,84,5,2024-06-12
381,42,101,5,2024-06-02
382,152,87,5,2024-09-17
383,137,126,5,2024-06-02
384,122,209,1,2024-07-07
385,85,173,1,2024-08-01
386,150,79,1,2024-11-01
387,122,68,5,2024-10-22
388,59,185,1,2024-10-25
389,123,44,5,2024-11-18
390,185,159,4,2024-03-16
391,211,175,2,2024-01-17
392,147,180,1,2024-04-07
393,5,113,3,2024-08-02
394,39,106,2,2024-07-29
395,129,199,5,2024-08-29
396,224,189,1,2024-12-27
397,36,133,2,2024-10-14
398,84,170,4,2024-09-26
399,97,81,2,2024-08-23
400,234,137,3,2024-10-06
401,91,174,3,2024-11-08
402,124,50,2,2024-05-22
403,143,77,2,2024-06-01
404,198,74,2,2024-12-19
405,181,126,3,2024-09-02
406,90,144,3,2024-05-27
407,32,147,5,2024-07-13
408,230,102,3,2024-03-15
409,75,11,3,2024-12-31
410,21,89,4,2024-12-01
411,66,192,4,2024-04-19
412,52,212,5,2024-05-18
413,239,144,3,2024-03-11
414,28,158,5,2024-05-02
415,63,13,5,2024-04-25
416,164,60,1,2024-02-21
417,106,85,4,2024-02-21
418,175,198,2,2024-01-03
419,247,141,2,2024-07-27
420,168,122,4,2024-11-29
421,52,194,3,2024-06-13
422,74,166,1,2024-02-15
423,167,147,2,2024-09-30
424,190,186,1,2024-03-30
425,107,215,2,2024-01-19
426,215,102,4,2024-04-05
427,240,192,3,2024-01-20
428,3,77,5,2024-11-04
429,28,86,3,2024-08-20
430,165,140,5,2024-09-09
431,228,35,5,2024-08-27
432,70,50,1,2024-06-18
433,42,188,4,2024-11-27
434,66,184,2,2024-01-08
435,189,87,3,2024-10-17
436,173,194,2,2024-03-30
437,157,164,4,2024-08-06
438,132,84,1,2024-07-24
439,172,25,2,2024-03-12
440,123,83,2,2024-01-04
441,67,99,2,2024-08-16
442,193,69,3,2024-06-03
443,150,186,5,2024-01-06
444,67,168,3,2024-12-20
445,61,16,1,2024-08-26
446,79,41,4,2024-12-17
447,129,181,3,2024-12-19
448,31,164,3,2024-07-07
449,158,57,2,2024-03-09
450,123,40,4,2024-11-06
451,96,107,5,2024-08-29
452,194,138,2,2024-05-06
453,175,194,5,2024-02-11
454,135,115,5,2024-12-26
455,93,20,5,2024-02-27
456,16,213,5,2024-09-15
457,52,147,5,2024-03-17
458,43,84,5,2024-08-14
459,30,175,2,2024-10-25
460,126,24,5,2024-08-16
461,208,15,4,2024-03-08
462,132,107,4,2024-10-15
463,15,144,4,2024-12-10
464,207,79,1,2024-07-21
465,66,210,1,2024-04-21
466,149,19,1,2024-08-04
467,89,180,1,2024-10-04
468,16,18,4,2024-01-17
469,74,105,2,2024-03-10
470,197,165,4,2024-07-10
471,229,98,4,2024-07-12
472,97,21,5,2024-03-09
473,168,90,1,2024-04-01
474,138,101,5,2024-03-06
475,187,58,1,2024-01-12
476,77,119,5,2024-08-05
477,137,98,2,2024-05-06
478,118,89,2,2024-05-21
479,49,186,1,2024-01-17
480,208,170,4,2024-11-10
481,197,5,2,2024-04-15
482,18,26,5,2024-01-18
483,115,154,1,2024-05-05
484,190,12,4,2024-08-12
485,60,139,2,2024-01-29
486,36,129,3,2024-04-29
487,209,188,5,2024-06-12
488,148,154,3,2024-05-01
489,78,37,5,2024-04-23
490,106,77,3,2024-02-01
491,143,152,2,2024-11-16
492,174,110,5,2024-09-10
493,13,89,4,2024-09-25
494,82,179,4,2024-07-28
495,39,77,4,2024-04-04
496,194,138,4,2024-05-03
497,218,58,3,2024-12-28
498,37,207,4,2024-01-30
499,144,106,4,2024-10-12
500,136,35,4,2024-05-04
